full_name,party,elec_year,cand_id,occupation_number,occupation,original_matched_kldb_title,matched_kldb_code,isco08_code_1,isco08_code_2,isco08_code_3,isco08_code_4,isco08_code_5,list_state,list_rank,elec_district,direct_cand,list_cand,is_legislator,is_only_legislator,is_duplicated_cand
"BECK-OBERDORF, MARIELUISE",greens,1980,"BECK-OBERDORF, MARIELUISE_greens_1980_1",occ_1,reallehrerin,NA,NA,NA,NA,NA,NA,NA,BW,4,183,1,1,FALSE,FALSE,FALSE
"BEEK, FRITZ",greens,1980,"BEEK, FRITZ_greens_1980_1",occ_1,rentner,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,1,0,FALSE,FALSE,FALSE
"BEHM, JOACHIM",fdp,1980,"BEHM, JOACHIM_fdp_1980_1",occ_1,soldat,soldat,01402,0310,NA,NA,NA,NA,SH,4,8,1,1,FALSE,FALSE,FALSE
"BEHNKE, GEORG",cdu_csu,1980,"BEHNKE, GEORG_cdu_csu_1980_1",occ_1,gerichtsreferendar,NA,NA,NA,NA,NA,NA,NA,NI,29,NA,0,1,FALSE,FALSE,FALSE
"BEHRINGER, ERNST",cdu_csu,1980,"BEHRINGER, ERNST_cdu_csu_1980_1",occ_1,berufssoldat,NA,NA,NA,NA,NA,NA,NA,BW,45,NA,0,1,FALSE,FALSE,FALSE
"BENDER, IGNAZ",cdu_csu,1980,"BENDER, IGNAZ_cdu_csu_1980_1",occ_1,universitätskanzler,universitätskanzler,84394,1120,NA,NA,NA,NA,RP,16,NA,0,1,FALSE,FALSE,FALSE
"BENDIG, WOLFGANG",cdu_csu,1980,"BENDIG, WOLFGANG_cdu_csu_1980_1",occ_1,soldat,soldat,01402,0310,NA,NA,NA,NA,NI,33,NA,0,1,FALSE,FALSE,FALSE
"BENDIG, WOLFGANG",cdu_csu,1980,"BENDIG, WOLFGANG_cdu_csu_1980_1",occ_2,ingenieur grad,NA,NA,NA,NA,NA,NA,NA,NI,33,NA,0,1,FALSE,FALSE,FALSE
"BENEDIX-ENGLER, URSULA",cdu_csu,1980,"BENEDIX-ENGLER, URSULA_cdu_csu_1980_1",occ_1,oberstudienrätin,NA,NA,NA,NA,NA,NA,NA,NI,3,48,1,1,FALSE,FALSE,FALSE
"BENTFELD, JOHANNA",cdu_csu,1980,"BENTFELD, JOHANNA_cdu_csu_1980_1",occ_1,hausfrau,NA,NA,NA,NA,NA,NA,NA,NW,60,NA,0,1,FALSE,FALSE,FALSE
"BERG, GUENTER",spd,1980,"BERG, GUENTER_spd_1980_1",occ_1,maschinenschlosser,maschinenschlosser,25102,7233,NA,NA,NA,NA,NI,85,NA,0,1,FALSE,FALSE,FALSE
"BERG, HERMANN-OTTO",spd,1980,"BERG, HERMANN-OTTO_spd_1980_1",occ_1,ingenieur,ingenieur,26304,2152,2151,NA,NA,NA,HE,47,NA,0,1,FALSE,FALSE,FALSE
"BERGER, DIETRICH",fdp,1980,"BERGER, DIETRICH_fdp_1980_1",occ_1,realschullehrer,realschullehrer,84124,2330,NA,NA,NA,NA,BW,27,187,1,1,FALSE,FALSE,FALSE
"BERGER, DR. VERONIKA",spd,1980,"BERGER, DR. VERONIKA_spd_1980_1",occ_1,soziologin,NA,NA,NA,NA,NA,NA,NA,HH,18,NA,0,1,FALSE,FALSE,FALSE
"BERGER, GERALD",cdu_csu,1980,"BERGER, GERALD_cdu_csu_1980_1",occ_1,oberstleutnant,oberstleutnant,01104,0110,NA,NA,NA,NA,BY,32,NA,0,1,FALSE,FALSE,FALSE
"BERGER, MARKUS",cdu_csu,1980,"BERGER, MARKUS_cdu_csu_1980_1",occ_1,soldat,soldat,01402,0310,NA,NA,NA,NA,RP,12,NA,0,1,TRUE,FALSE,FALSE
"BERGEROWSKI, WOLFRAM JOACHIM",fdp,1980,"BERGEROWSKI, WOLFRAM JOACHIM_fdp_1980_1",occ_1,richter,NA,NA,NA,NA,NA,NA,NA,BW,7,183,1,1,FALSE,FALSE,FALSE
"BERGMANN, FRIEDRICH",fdp,1980,"BERGMANN, FRIEDRICH_fdp_1980_1",occ_1,parlamentsrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,1,0,FALSE,FALSE,FALSE
"BERNBACHER, CHRISTA",greens,1980,"BERNBACHER, CHRISTA_greens_1980_1",occ_1,krankenschwester,krankenschwester pfleger intensivpflege,81313,3221,NA,NA,NA,NA,HB,1,50,1,1,FALSE,FALSE,FALSE
"BERNBACHER, CHRISTA",greens,1980,"BERNBACHER, CHRISTA_greens_1980_1",occ_2,hebamme,NA,NA,NA,NA,NA,NA,NA,HB,1,50,1,1,FALSE,FALSE,FALSE
"BERNDT, HANS WERNER",fdp,1980,"BERNDT, HANS WERNER_fdp_1980_1",occ_1,steuerberater,steuerberater,72304,2411,NA,NA,NA,NA,HE,16,126,1,1,FALSE,FALSE,FALSE
"BERNDT, ROLF",fdp,1980,"BERNDT, ROLF_fdp_1980_1",occ_1,oberregierungsrat,NA,NA,NA,NA,NA,NA,NA,RP,4,146,1,1,FALSE,FALSE,FALSE
"BERNHAEUSER, PETER",greens,1980,"BERNHAEUSER, PETER_greens_1980_1",occ_1,heizungsmonteur,heizungsmonteur,34212,7126,NA,NA,NA,NA,NA,NA,44,1,0,FALSE,FALSE,FALSE
"BERNHARD, KARLHEINZ",cdu_csu,1980,"BERNHARD, KARLHEINZ_cdu_csu_1980_1",occ_1,journalist,journalist,92414,2641,2642,NA,NA,NA,HE,61,NA,0,1,FALSE,FALSE,FALSE
"BERNHARD, WILHELM",spd,1980,"BERNHARD, WILHELM_spd_1980_1",occ_1,reallehrer,NA,NA,NA,NA,NA,NA,NA,BW,37,NA,0,1,FALSE,FALSE,FALSE
"BERNHOLD, CLAUS",cdu_csu,1980,"BERNHOLD, CLAUS_cdu_csu_1980_1",occ_1,oberstleutnant,oberstleutnant,01104,0110,NA,NA,NA,NA,BY,58,NA,0,1,FALSE,FALSE,FALSE
"BERNRATH, HANS GOTTFRIED",spd,1980,"BERNRATH, HANS GOTTFRIED_spd_1980_1",occ_1,postbeamter,NA,NA,NA,NA,NA,NA,NA,NW,20,77,1,1,FALSE,FALSE,FALSE
"BERNSDORF, ROBERT",fdp,1980,"BERNSDORF, ROBERT_fdp_1980_1",occ_1,agraringenieur,agraringenieur,11104,2132,NA,NA,NA,NA,NI,24,44,1,1,FALSE,FALSE,FALSE
"BERSCHKEIT, ERICH",spd,1980,"BERSCHKEIT, ERICH_spd_1980_1",occ_1,prokurist,prokurist,71104,1120,NA,NA,NA,NA,NW,21,54,1,1,FALSE,FALSE,FALSE
"BERT, DR. MARGITA",fdp,1980,"BERT, DR. MARGITA_fdp_1980_1",occ_1,frauenärztin,NA,NA,NA,NA,NA,NA,NA,HE,24,NA,0,1,FALSE,FALSE,FALSE
"BERTGES, WILHELM",spd,1980,"BERTGES, WILHELM_spd_1980_1",occ_1,rentner,NA,NA,NA,NA,NA,NA,NA,SL,12,NA,0,1,FALSE,FALSE,FALSE
"BERTHOLD, BRIGITTE LUISE",greens,1980,"BERTHOLD, BRIGITTE LUISE_greens_1980_1",occ_1,sekretärin,sekretärin,71402,4120,NA,NA,NA,NA,SL,4,NA,0,1,FALSE,FALSE,FALSE
"BERTHOLD, JUERGEN",greens,1980,"BERTHOLD, JUERGEN_greens_1980_1",occ_1,vertriebsleiter,vertriebsleiter,61194,1324,1221,NA,NA,NA,NA,NA,248,1,0,FALSE,FALSE,FALSE
"BERTRAM, PROF. DR. ROLF",greens,1980,"BERTRAM, PROF. DR. ROLF_greens_1980_1",occ_1,hochschullehrer,hochschullehrer,84304,2310,NA,NA,NA,NA,NA,NA,48,1,0,FALSE,FALSE,FALSE
"BETTERMANN, ALFRED",spd,1980,"BETTERMANN, ALFRED_spd_1980_1",occ_1,bundesbahnhauptsekretär,NA,NA,NA,NA,NA,NA,NA,NI,61,NA,0,1,FALSE,FALSE,FALSE
"BETZL, LEONHARD",greens,1980,"BETZL, LEONHARD_greens_1980_1",occ_1,ingenieur,ingenieur,26304,2152,2151,NA,NA,NA,BY,15,205,1,1,FALSE,FALSE,FALSE
"BETZLER, ANTON, MARTIN",greens,1980,"BETZLER, ANTON, MARTIN_greens_1980_1",occ_1,bronzegiesser,NA,NA,NA,NA,NA,NA,NA,BY,55,243,1,1,FALSE,FALSE,FALSE
