term,term_count,doc_count,rank,frequency
pfarrerin,3,3,546,2.85932138772398e-4
phil,3,3,547,2.85932138772398e-4
philologe,3,3,548,2.85932138772398e-4
philosophin,3,3,549,2.85932138772398e-4
politischer,3,3,550,2.85932138772398e-4
postbeamter,3,3,551,2.85932138772398e-4
praktischer,3,3,552,2.85932138772398e-4
privatdozentin,3,3,553,2.85932138772398e-4
projektleiter,3,3,554,2.85932138772398e-4
projektmanager,3,3,555,2.85932138772398e-4
pädagogischer,3,3,556,2.85932138772398e-4
radio,3,3,557,2.85932138772398e-4
rat,3,3,558,2.85932138772398e-4
rechtspfleger,3,3,559,2.85932138772398e-4
rechtswissenschaft,3,3,560,2.85932138772398e-4
referendar,3,3,561,2.85932138772398e-4
regierungsangestellte,3,3,562,2.85932138772398e-4
regierungsdirektorin,3,3,563,2.85932138772398e-4
regionalplaner,3,3,564,2.85932138772398e-4
sachbearbeiterin,3,3,565,2.85932138772398e-4
sales,3,3,566,2.85932138772398e-4
schriftsteller,3,3,567,2.85932138772398e-4
schulamtsdirektor,3,3,568,2.85932138772398e-4
senatorin,3,3,569,2.85932138772398e-4
sgd,3,3,570,2.85932138772398e-4
sicherheitsingenieur,3,3,571,2.85932138772398e-4
softwareentwickler,3,3,572,2.85932138772398e-4
sonderschullehrerin,3,3,573,2.85932138772398e-4
soziales,3,3,574,2.85932138772398e-4
sozialökonom,3,3,575,2.85932138772398e-4
sparkassenangestellte,3,3,576,2.85932138772398e-4
sprachmittlerin,3,3,577,2.85932138772398e-4
sprachwissenschaftlerin,3,3,578,2.85932138772398e-4
staatsanwalt,3,3,579,2.85932138772398e-4
staatsrätin,3,3,580,2.85932138772398e-4
stadtdirektor,3,3,581,2.85932138772398e-4
staedtischer,3,3,582,2.85932138772398e-4
stellv,3,3,583,2.85932138772398e-4
stiftungsvorstand,3,3,584,2.85932138772398e-4
studienleiter,3,3,585,2.85932138772398e-4
studienleiterin,3,3,586,2.85932138772398e-4
städtebau,3,3,587,2.85932138772398e-4
systemanalytiker,3,3,588,2.85932138772398e-4
teamleiter,3,3,589,2.85932138772398e-4
technik,3,3,590,2.85932138772398e-4
technologie,3,3,591,2.85932138772398e-4
textilkaufmann,3,3,592,2.85932138772398e-4
tierärztin,3,3,593,2.85932138772398e-4
umweltschutz,3,3,594,2.85932138772398e-4
umweltwissenschaftlerin,3,3,595,2.85932138772398e-4
unfallchirurg,3,3,596,2.85932138772398e-4
universitäts,3,3,597,2.85932138772398e-4
universitätsprofessorin,3,3,598,2.85932138772398e-4
v,3,3,599,2.85932138772398e-4
verkaufsleiter,3,3,600,2.85932138772398e-4
vermessungsingenieur,3,3,601,2.85932138772398e-4
vermögensberater,3,3,602,2.85932138772398e-4
